                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2871,                 7.4022,                 1.2127,                0.54564,                0.55367,                0.44179,                0.31506,                 1.0073,                  3.796,                0.97668,             0.00029595,             0.00029595,             0.00029595
                      2,                  1.194,                 2.0586,                 1.1538,                0.68557,                0.57365,                 0.6652,                 0.4926,                0.93147,                  1.406,                0.95788,             0.00057523,             0.00057523,             0.00057523
                      3,                 1.2012,                 1.5679,                 1.1449,                0.52398,                0.83028,                0.68674,                0.48039,                0.98637,                 1.2439,                0.96366,             0.00083052,             0.00083052,             0.00083052
                      4,                 1.2103,                 1.3627,                 1.1685,                 0.5381,                0.28771,                 0.3872,                0.26254,                 1.2808,                 2.1547,                 1.0915,             0.00080101,             0.00080101,             0.00080101
                      5,                 1.1421,                 1.2718,                 1.1291,                0.73066,                 0.6546,                0.74831,                0.50206,                0.97522,                0.98895,                0.99297,             0.00080101,             0.00080101,             0.00080101
                      6,                 1.0294,                 1.0357,                 1.0803,                0.79191,                0.78061,                0.84889,                0.57025,                 1.0343,                0.81081,                 1.0124,             0.00076501,             0.00076501,             0.00076501
                      7,                 1.0433,                0.96417,                 1.0882,                0.82277,                0.75636,                0.81562,                0.61867,                0.83247,                0.78032,                0.92582,             0.00072902,             0.00072902,             0.00072902
                      8,                0.99039,                0.91982,                 1.0581,                0.70096,                0.83562,                0.79347,                 0.5913,                0.82622,                0.66994,                0.92159,             0.00069302,             0.00069302,             0.00069302
                      9,                0.98896,                0.88658,                 1.0591,                0.66435,                0.82823,                0.80644,                0.59431,                  0.785,                 0.7168,                0.91018,             0.00065703,             0.00065703,             0.00065703
                     10,                 0.9672,                0.83515,                 1.0355,                0.75696,                0.73814,                0.76005,                 0.5069,                  1.108,                0.84197,                 1.0735,             0.00062103,             0.00062103,             0.00062103
                     11,                0.96631,                 0.7754,                 1.0403,                0.77926,                0.69199,                0.79591,                0.59714,                0.82762,                0.69933,                0.93584,             0.00058503,             0.00058503,             0.00058503
                     12,                0.96382,                0.76939,                 1.0426,                0.65194,                 0.8198,                0.77846,                0.58904,                0.82227,                0.67957,                0.91847,             0.00054904,             0.00054904,             0.00054904
